backend,memory_mib,dirty_mib,mode,trial,pause_ms,diff_ms,diff_physical_bytes
ssd,2048,0,full,1,13781,,
ssd,2048,0,full,2,13700,,
ssd,2048,0,full,3,13756,,
ssd,2048,0,diff,1,588,586,12734464
ssd,2048,0,diff,2,603,602,12521472
ssd,2048,0,diff,3,591,590,12795904
ssd,2048,10,full,1,16459,,
ssd,2048,10,full,2,14212,,
ssd,2048,10,full,3,14949,,
ssd,2048,10,diff,1,700,700,23334912
ssd,2048,10,diff,2,621,620,23236608
ssd,2048,10,diff,3,699,697,23265280
ssd,2048,50,full,1,13833,,
ssd,2048,50,full,2,14047,,
ssd,2048,50,full,3,13323,,
ssd,2048,50,diff,1,967,966,65822720
ssd,2048,50,diff,2,883,882,66007040
ssd,2048,50,diff,3,912,910,65945600
ssd,2048,100,full,1,13887,,
ssd,2048,100,full,2,14146,,
ssd,2048,100,full,3,13375,,
ssd,2048,100,diff,1,1281,1279,119181312
ssd,2048,100,diff,2,1246,1244,119230464
ssd,2048,100,diff,3,1233,1232,119271424
ssd,2048,250,full,1,14217,,
ssd,2048,250,full,2,15284,,
ssd,2048,250,full,3,14079,,
ssd,2048,250,diff,1,2208,2207,279384064
ssd,2048,250,diff,2,2534,2532,279547904
ssd,2048,250,diff,3,2451,2449,279474176
ssd,2048,500,full,1,13752,,
ssd,2048,500,full,2,14388,,
ssd,2048,500,full,3,14130,,
ssd,2048,500,diff,1,6028,6027,546193408
ssd,2048,500,diff,2,5923,5921,546107392
ssd,2048,500,diff,3,5234,5232,546127872
ssd,2048,1000,full,1,13760,,
ssd,2048,1000,full,2,15046,,
ssd,2048,1000,full,3,14402,,
ssd,2048,1000,diff,1,10946,10945,1079721984
ssd,2048,1000,diff,2,10547,10546,1079746560
ssd,2048,1000,diff,3,10630,10628,1079734272
